timestamp_utc,capital,open_positions
2026-09-04T08:05:45.330943+00:00,10000.00,3
2026-09-04T09:14:47.636615+00:00,10000.00,3
2026-09-04T09:32:56.512345+00:00,10000.00,3
2026-09-04T13:57:01.928615+00:00,10000.00,3
2026-09-04T22:10:54.874059+00:00,9993.01,3
2026-09-05T22:10:36.936299+00:00,10003.62,3
2026-09-06T22:10:25.094301+00:00,10003.62,3
2026-09-07T07:22:04.861277+00:00,10004.91,3
2026-09-07T07:28:19.058199+00:00,10004.91,3
2026-09-07T11:16:55.952495+00:00,1000.00,5
2026-09-07T11:30:43.947581+00:00,1000.00,5
2026-09-07T22:11:30.983675+00:00,1000.00,5
2026-09-08T22:11:40.870583+00:00,1000.00,5
2026-09-09T22:10:52.779254+00:00,1005.43,5
2026-09-10T22:10:33.859798+00:00,1001.40,5
2026-09-11T22:11:22.205872+00:00,999.81,5
2026-09-12T22:10:40.882511+00:00,998.80,5
2026-09-13T22:11:02.900132+00:00,1001.48,5
2026-09-14T22:11:47.473356+00:00,1001.48,5
2026-09-15T22:11:39.845340+00:00,995.69,2
2026-09-16T22:11:16.823549+00:00,995.69,3
2026-09-17T22:11:26.105340+00:00,998.77,3
2026-09-18T22:10:58.878178+00:00,1001.60,5
2026-09-19T22:10:36.768505+00:00,1004.36,5
2026-09-20T22:10:35.553574+00:00,1004.36,5
2026-09-21T13:08:46.456135+00:00,1005.28,5
2026-09-21T22:11:15.529625+00:00,1009.06,5
